"","job_title","job_location","company_name","job_description","city"
"1","Financial Data Sampling Analyst","Dublin","Accenture","The focus of this role is on data review and correction. Complete data sampling training procedures provided by experienced subject matter experts.","Dublin"
"2","Research Analyst","Dublin","HokuApps Pte Ltd","Analytical and data driven roles in leading global enterprises or strategy consulting businesses. An understanding of data science and it’s application in the…","Dublin"
"3","Data Analyst II - Enterprise Data","Carlow","Unum","Mastery of data profiling, including data anomalies, data mapping activities. Smartly merge data into existing master data models. Job Posting End Date: 12/03.","Dublin"
"4","International Search Quality Operations - Analyst","Dublin","Indeed","Knowledge of the UK and Ireland market to evaluate quality standards with supporting data for assigned markets. Simply put, we help people get the right jobs.","Dublin"
"5","Data Analyst","Dublin","Next Generation Recruitment","You have experience as a data analyst in a client-facing environment. My client’s data analytics team is growing and they need someone like you to join them to…","Dublin"
"6","MSIM - Risk Analyst - Associate","Dublin","Morgan Stanley","Demonstrable previous working experience in a risk or data discipline advantageous but not a requirement. Other responsibilities may include: maintaining and…","Dublin"
"7","SPAR - StepStone Portfolio Analytics & Reporting Junior Analyst","Dublin","StepStone Group LP","Perform quantitative and qualitative analysis using private equity market statistics and benchmark data. Gather, analyze, and synthesize data to prepare client…","Dublin"
"8","Calculations Analyst","Dublin","Phoenix Group","Information Gathering – The ability to seek out relevant data from a range of sources to identify, analyse and interpret situations, issues and problems…","Dublin"
"9","Business Analyst","Dublin","SoftCo","Undertake competitor and market analysis as well as channel data and social analytics. You will be responsible for key marketing analytics, both data and social…","Dublin"
"10","Scheduling Analyst","Little Island, County Cork","Capita Plc","Provides support to call center operations using data analysis on work activities to help improve performance. What you’ll be doing: What we’re looking for:","Dublin"
"11","Business and Reporting Analyst","Dublin West, County Dublin","QuinnBet","Work with a variety of large data sources and provide a holistic and consistent view of the data. 3+ years’ experience in a reporting or business analyst role.","Dublin"
"12","Risk Analyst","Dublin","Susquehanna International Group","Validation of new reports and liaising with quantitative research analysts where necessary; Liaise with Trading and Operations to verify accuracy of position…","Dublin"
"13","Senior Data Analyst","Remote","Polinode","We have been experiencing strong demand from our clients for assistance with the analysis of their data. Knowledge of or exposure to machine learning and data…","Dublin"
"14","Data Analyst","Kinsale, County Cork","Zenith Technologies","Knowledge of data structures, data base design, data warehouses, business intelligence/analytic tools, SQL, ETL tools, and data integration methods.","Dublin"
"15","Data Analyst","Athlone, County Westmeath","PlaceMe","2-3 years of experience in data analysis nd report generation. Establishment of awareness campaigns ensuring that data is recorded centrally, distributed…","Dublin"
"16","Business Analyst II - Enterprise Data","Carlow","Unum","Identify data sources and gather and analyze data relevant to processes impacted by the solutions being created. Job Posting End Date: 12/03.","Dublin"
"17","Digital Data Analyst","Dublin","Nielsen","Ensure high quality data from panel homes. Today’s data is tomorrow’s marketplace revelation. We’re bringing in data 24/7 and the possibilities are endless.","Dublin"
"18","QC Analyst - Viatris Dublin Respiratory","Dublin","Mylan","Reviewing analytical data, analytical reports and performing peer reviews. Primary Location - IRE-Leinster-Dublin. Key responsibilities for this role include:","Dublin"
"19","Graduate Legal Analyst","Dublin","Brightflag","Classifying invoice data to improve AI accuracy. These insights are used to make data-driven decisions at every step of the matter lifecycle, from resource…","Dublin"
"20","Q.C. Analyst - Microbiology","Dunboyne, County Meath","MSD","To review and approve testing data and be proficient in the use of MODA and or Global LIMS systems. An amazing opportunity has arisen for a Q.C.","Dublin"
"21","Reference Data & Quality, Associate Analyst","Dublin","Fidelity Investments","Experience with reference and pricing data, data vendors or brokerage /US operations. Conducting data quality campaigns and vendor challenges to ensure that all…","Dublin"
"22","Business Process Analyst","Dublin","Surecom NS Ltd","Experience in using PowerBI or similar data reporting tool. Extract and analyse reports and available data to assist with determining trends and success metrics…","Dublin"
"23","QTP Reporting Analyst","Dublin","Accenture","Gather and input data from various data sources. Interpret data and analyse Information to assist operations teams with day-to-day management of their teams.","Dublin"
"24","DATA ANALYST (NETWORK SYSTEMS) CONTRACT DUBLIN","Dublin","Spring","You will have experience of system interfacing and the ability to work and design data sources for reporting highly desired.","Dublin"
